epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,31.8556,1.15617,2.13764,1.9288,1.18993,0,0.58904,0.68596,0.68076,0.49122,0.58343,0.68078,0.67548,0.45207,0.92358,1.63529,1.16869,1.03751,0,0.000366703,0.000366703,0.000366703
2,85.8263,0.96182,1.58358,1.22728,1.02868,0,0.66605,0.74112,0.74287,0.54226,0.66188,0.7361,0.73636,0.49915,0.91105,1.53255,1.10378,1.06089,0,0.000732172,0.000732172,0.000732172
3,129.751,1.00366,1.59312,1.344,1.03324,0,0.61501,0.7087,0.63873,0.39648,0.60846,0.70692,0.63447,0.39823,1.20176,1.77532,1.39432,1.13232,0,0.00109275,0.00109275,0.00109275
4,157.412,1.01957,1.56537,1.33954,1.06169,0,0.78153,0.83759,0.90573,0.63082,0.7839,0.83909,0.90726,0.60592,0.98457,1.61127,0.97002,1.01744,0,0.001089,0.001089,0.001089
5,184.238,1.00948,1.53981,1.09186,1.01737,0,0.88145,0.86489,0.95337,0.69912,0.88133,0.86474,0.95136,0.65412,0.86607,1.47232,0.78377,0.98375,0,0.00108167,0.00108167,0.00108167
6,221.804,0.90307,1.45396,0.91432,1.01379,0,0.86605,0.87552,0.92401,0.66672,0.86315,0.87307,0.92026,0.62777,0.89746,1.33825,0.77596,1.05579,0,0.00107434,0.00107434,0.00107434
7,306.196,0.86167,1.36513,0.79383,0.98668,0,0.92793,0.92826,0.97566,0.74052,0.92538,0.92609,0.97285,0.67967,0.81511,1.39404,0.61884,0.97453,0,0.001067,0.001067,0.001067
8,332.998,0.86776,1.33909,0.73024,0.98642,0,0.94825,0.93721,0.98094,0.74654,0.9485,0.93722,0.98041,0.69915,0.80935,1.24236,0.59838,0.97316,0,0.00105967,0.00105967,0.00105967
9,359.86,0.86318,1.28209,0.68307,0.98834,0,0.9344,0.93344,0.97236,0.74507,0.93584,0.93491,0.97322,0.70766,0.78124,1.20562,0.58481,0.981,0,0.00105234,0.00105234,0.00105234
10,389.68,0.83211,1.26876,0.64164,0.97024,0,0.96835,0.93635,0.98331,0.76864,0.96731,0.93979,0.98363,0.7271,0.75856,1.21894,0.53129,0.95837,0,0.00104501,0.00104501,0.00104501
11,435.332,0.81583,1.21649,0.59855,0.96799,0,0.9525,0.95797,0.98371,0.76733,0.95099,0.95649,0.98147,0.72766,0.75118,1.20772,0.52496,0.97047,0,0.00103767,0.00103767,0.00103767
12,547.306,0.79343,1.19264,0.55994,0.96877,0,0.9686,0.96012,0.98859,0.76924,0.9686,0.96012,0.98859,0.71941,0.76467,1.18254,0.50086,0.96996,0,0.00103034,0.00103034,0.00103034
13,584.174,0.79245,1.19719,0.55291,0.95675,0,0.97311,0.97067,0.99055,0.77815,0.97311,0.97067,0.99055,0.71838,0.75462,1.19508,0.47626,0.95715,0,0.00102301,0.00102301,0.00102301
14,612.244,0.77774,1.15728,0.54713,0.94999,0,0.97512,0.97703,0.98996,0.77774,0.97438,0.97785,0.99006,0.73815,0.74244,1.1627,0.45947,0.94742,0,0.00101568,0.00101568,0.00101568
15,639.278,0.75499,1.14341,0.51457,0.94366,0,0.96831,0.97519,0.98695,0.78452,0.9676,0.97229,0.98537,0.72274,0.71446,1.17071,0.4543,0.94547,0,0.00100834,0.00100834,0.00100834
16,670.77,0.75793,1.14749,0.51979,0.94187,0,0.98645,0.97829,0.98984,0.78762,0.98645,0.97829,0.99054,0.73515,0.72745,1.13265,0.44179,0.95308,0,0.00100101,0.00100101,0.00100101
17,795.52,0.76426,1.14171,0.5096,0.94781,0,0.97752,0.97831,0.9895,0.77756,0.97752,0.97831,0.9895,0.72877,0.73386,1.15804,0.44172,0.9663,0,0.000993678,0.000993678,0.000993678
18,823.604,0.74431,1.10782,0.48578,0.9433,0,0.98482,0.97155,0.98864,0.76873,0.98482,0.97155,0.98848,0.74144,0.76451,1.14902,0.46251,0.96453,0,0.000986346,0.000986346,0.000986346
19,851.367,0.71542,1.06726,0.47357,0.93237,0,0.98046,0.9767,0.99094,0.7933,0.98046,0.9767,0.99094,0.74448,0.70166,1.09204,0.42464,0.93785,0,0.000979013,0.000979013,0.000979013
20,878.612,0.71848,1.07641,0.47011,0.92863,0,0.97254,0.97909,0.9916,0.79448,0.97254,0.97909,0.9916,0.75381,0.71698,1.09611,0.42235,0.94227,0,0.000971681,0.000971681,0.000971681
21,907.897,0.73572,1.10154,0.46253,0.92977,0,0.9856,0.9761,0.99156,0.78198,0.9856,0.9761,0.99139,0.74439,0.7323,1.10286,0.42092,0.95108,0,0.000964348,0.000964348,0.000964348
22,1035.93,0.72329,1.05436,0.45915,0.93079,0,0.98413,0.97648,0.99149,0.7782,0.98413,0.97648,0.99145,0.72917,0.74935,1.12196,0.4335,0.96236,0,0.000957015,0.000957015,0.000957015
